"Luni","Pret","Variatie_procentuala","Variatie_absoluta","Curs_USD_EUR"
"Luna noiembrie 2021","65.85","-19.479","-15.93","1.1416"
"Luna decembrie 2021","74.88","13.713","9.03","1.1301"
"Luna ianuarie 2022","86.49","15.505","11.61","1.1317"
"Luna februarie 2022","93.5","8.105","7.01","1.1349"
"Luna martie 2022","98.52","5.369","5.02","1.1019"
"Luna aprilie 2022","102.94","4.486","4.42","1.0803"
"Luna mai 2022","111.91","8.714","8.97","1.0567"
"Luna iunie 2022","103.1","-7.872","-8.81","1.0567"
"Luna iulie 2022","96.75","-6.159","-6.35","1.0168"
"Luna august 2022","89.03","-7.979","-7.72","1.0129"
"Luna septembrie 2022","78.72","-11.58","-10.31","0.9899"
"Luna octombrie 2022","85.4","8.486","6.68","0.9853"
"Luna noiembrie 2022","80.66","-5.55","-4.74","1.0192"
"Luna decembrie 2022","80.45","-0.26","-0.21","1.0591"
"Luna ianuarie 2023","79.17","-1.591","-1.28","1.0777"
"Luna februarie 2023","77.19","-2.501","-1.98","1.0702"
"Luna martie 2023","75.8","-1.801","-1.39","1.0711"
"Luna aprilie 2023","76.78","1.293","0.98","1.0962"
"Luna mai 2023","68.24","-11.123","-8.54","1.0867"
"Luna iunie 2023","70.78","3.722","2.54","1.084"
"Luna iulie 2023","81.32","14.891","10.54","1.1067"
"Luna august 2023","82.96","2.017","1.64","1.091"
"Luna septembrie 2023","88.8","7.04","5.84","1.0672"
"Luna octombrie 2023","80.5","-9.347","-8.3","1.0565"
"Luna noiembrie 2023","76.05","-5.528","-4.45","1.0819"
"Luna decembrie 2023","71.65","-5.786","-4.4","1.0909"
"Luna ianuarie 2024","75.71","5.666","4.06","1.0899"
"Luna februarie 2024","77.45","2.298","1.74","1.0793"
"Luna martie 2024","83.1235","7.325","5.6735","1.087"
"Luna aprilie 2024","81.93","-1.436","-1.1935","1.0724"
"Luna mai 2024","76.99","-6.03","-4.94","1.081"
"Luna iunie 2024","81.54","5.91","4.55","1.0763"
"Luna iulie 2024","77.91","-4.452","-3.63","1.0847"
"Luna august 2024","73.55","-5.596","-4.36","1.102"
"Luna septembrie 2024","68.17","-7.315","-5.38","1.1104"
"Luna octombrie 2024","69.26","1.599","1.09","1.0894"
"Luna noiembrie 2024","68.63","-0.91","-0.63","1.0621"
"Luna decembrie 2024","71.72","4.502","3.09","1.0472"
"Luna ianuarie 2025","72.53","1.129","0.81","1.0356"
"Luna februarie 2025","69.76","-3.819","-2.77","1.0413"
"Luna martie 2025","71.48","2.466","1.72","1.0813"
"Luna aprilie 2025","58.21","-18.565","-13.27","1.1232"
"Luna mai 2025","60.79","4.432","2.58","1.1274"
"Luna iunie 2025","65.11","7.106","4.32","1.1534"
"Luna iulie 2025","69.26","6.374","4.15","1.1671"
"Luna august 2025","64.01","-7.58","-5.25","1.1647"
"Luna septembrie 2025","62.37","-2.562","-1.64","1.1739"
"Luna octombrie 2025","60.98","-2.229","-1.39","1.1641"
"Luna noiembrie 2025","58.55","-3.985","-2.43","1.1558"
"Luna decembrie 2025","57.42","-1.93","-1.13","1.171"
"Luna ianuarie 2026","65.21","13.567","7.79","1.1744"
"Luna februarie 2026","67.02","2.776","1.81","1.1824"
"Luna martie 2026","101.38","51.268","34.36","1.1557"
"Luna aprilie 2026","105.07","3.64","3.69","1.1697"
"Luna mai 2026","99.2041","-5.583","-5.8659","1.1725"
